iter	Passed	Remaining
672	14206	6902
673	14225	6880
674	14245	6858
675	14263	6836
676	14285	6815
677	14305	6794
678	14326	6773
679	14347	6751
680	14369	6730
681	14388	6709
682	14409	6688
683	14432	6667
684	14453	6646
685	14474	6625
686	14495	6604
687	14516	6582
688	14537	6561
689	14559	6541
690	14581	6520
691	14603	6499
692	14628	6480
693	14649	6459
694	14669	6437
695	14691	6416
696	14710	6394
697	14731	6373
698	14751	6352
699	14771	6330
700	14792	6309
701	14814	6288
702	14837	6268
703	14859	6247
704	14880	6226
705	14901	6205
706	14926	6186
707	14947	6164
708	14967	6143
709	14993	6124
710	15014	6102
711	15036	6082
712	15056	6060
713	15077	6039
714	15097	6017
715	15117	5996
716	15138	5975
717	15157	5953
718	15177	5931
719	15198	5910
720	15218	5888
721	15237	5867
722	15257	5845
723	15277	5824
724	15314	5808
725	15335	5787
726	15357	5766
727	15377	5745
728	15403	5726
729	15424	5704
730	15443	5683
731	15467	5662
732	15488	5641
733	15507	5620
734	15530	5599
735	15550	5577
736	15570	5556
737	15590	5534
738	15610	5513
739	15630	5491
740	15650	5470
741	15671	5449
742	15692	5427
743	15712	5406
744	15734	5385
745	15786	5374
746	15807	5353
747	15831	5333
748	15851	5312
749	15870	5290
750	15892	5269
751	15911	5247
752	15931	5225
753	15951	5204
754	15972	5183
755	15993	5161
756	16012	5140
757	16032	5118
758	16051	5096
759	16072	5075
760	16091	5053
761	16112	5032
762	16132	5010
763	16152	4989
764	16171	4967
765	16190	4945
766	16210	4924
767	16230	4902
768	16251	4881
769	16271	4860
770	16293	4839
771	16312	4817
772	16332	4796
773	16352	4774
774	16372	4753
775	16393	4732
776	16413	4710
777	16433	4689
778	16453	4667
779	16474	4646
780	16494	4625
781	16515	4603
782	16536	4582
783	16556	4561
784	16577	4540
785	16612	4522
786	16633	4501
787	16655	4480
788	16676	4459
789	16697	4438
790	16719	4417
791	16738	4395
792	16759	4374
793	16797	4357
794	16817	4336
795	16838	4315
796	16859	4294
797	16881	4273
798	16902	4252
799	16921	4230
800	16941	4209
801	16962	4187
802	16983	4166
803	17002	4144
804	17021	4123
805	17042	4101
806	17062	4080
807	17082	4059
808	17102	4037
809	17122	4016
810	17143	3995
811	17162	3973
812	17183	3952
813	17201	3930
814	17222	3909
815	17241	3887
816	17262	3866
817	17285	3845
818	17306	3824
819	17326	3803
820	17346	3781
821	17365	3760
822	17386	3739
823	17406	3717
824	17426	3696
825	17446	3675
826	17467	3654
827	17496	3634
828	17516	3613
829	17536	3591
830	17554	3570
831	17573	3548
832	17592	3526
833	17612	3505
834	17630	3483
835	17650	3462
836	17669	3441
837	17688	3419
838	17707	3398
839	17729	3376
840	17749	3355
841	17769	3334
842	17789	3313
843	17812	3292
844	17832	3271
845	17852	3249
846	17871	3228
847	17890	3206
848	17909	3185
849	17928	3163
850	17947	3142
851	17966	3120
852	17985	3099
853	18003	3077
854	18022	3056
855	18042	3035
856	18062	3013
857	18082	2992
858	18101	2971
859	18120	2949
860	18138	2928
861	18157	2906
862	18184	2886
863	18204	2865
864	18223	2844
865	18243	2822
866	18263	2801
867	18282	2780
868	18302	2759
869	18322	2737
870	18342	2716
871	18364	2695
872	18384	2674
873	18415	2654
874	18437	2633
875	18462	2613
876	18484	2592
877	18517	2573
878	18538	2551
879	18557	2530
880	18577	2509
881	18599	2488
882	18618	2467
883	18637	2445
884	18657	2424
885	18676	2403
886	18696	2381
887	18716	2360
888	18736	2339
889	18755	2318
890	18774	2296
891	18792	2275
892	18815	2254
893	18833	2233
894	18853	2211
895	18873	2190
896	18892	2169
897	18913	2148
898	18932	2126
899	18952	2105
900	18971	2084
901	18990	2063
902	19010	2042
903	19030	2020
904	19049	1999
905	19069	1978
906	19089	1957
907	19108	1936
908	19129	1915
909	19147	1893
910	19166	1872
911	19194	1852
912	19214	1830
913	19241	1810
914	19261	1789
915	19286	1768
916	19306	1747
917	19327	1726
918	19347	1705
919	19367	1684
920	19386	1662
921	19453	1645
922	19473	1624
923	19494	1603
924	19514	1582
925	19533	1561
926	19555	1539
927	19592	1520
928	19612	1498
929	19631	1477
930	19651	1456
931	19671	1435
932	19690	1414
933	19711	1392
934	19731	1371
935	19753	1350
936	19790	1330
937	19810	1309
938	19829	1288
939	19848	1266
940	19867	1245
941	19886	1224
942	19905	1203
943	19924	1181
944	19943	1160
945	19962	1139
946	19984	1118
947	20005	1097
948	20023	1076
949	20043	1054
950	20065	1033
951	20086	1012
952	20108	991
953	20127	970
954	20148	949
955	20169	928
956	20187	907
957	20205	885
958	20225	864
959	20247	843
960	20267	822
961	20287	801
962	20308	780
963	20327	759
964	20347	737
965	20366	716
966	20386	695
967	20407	674
968	20426	653
969	20458	632
970	20478	611
971	20498	590
972	20518	569
973	20538	548
974	20557	527
975	20576	505
976	20596	484
977	20617	463
978	20637	442
979	20658	421
980	20679	400
981	20698	379
982	20719	358
983	20740	337
984	20762	316
985	20782	295
986	20801	273
987	20823	252
988	20844	231
989	20864	210
990	20885	189
991	20905	168
992	20925	147
993	20944	126
994	20980	105
995	20999	84
996	21020	63
997	21039	42
998	21059	21
999	21078	0
